iter	Passed	Remaining
195	46852	72668
196	47079	72411
197	47306	72154
198	47539	71906
199	47794	71692
200	48055	71485
201	48308	71266
202	48547	71027
203	48789	70792
204	48994	70504
205	49217	70241
206	49434	69972
207	49656	69710
208	49928	69517
209	50153	69259
210	50387	69014
211	50606	68748
212	50837	68499
213	51068	68250
214	51305	68009
215	51527	67749
216	51783	67533
217	52030	67305
218	52262	67058
219	52510	66831
220	52806	66665
221	53066	66453
222	53289	66193
223	53520	65945
224	53777	65727
225	53996	65464
226	54219	65207
227	54454	64963
228	54686	64716
229	54917	64468
230	55161	64235
231	55414	64013
232	55643	63763
233	55896	63540
234	56134	63300
235	56395	63086
236	56749	62975
237	57149	62912
238	57563	62862
239	58021	62857
240	58500	62870
241	58987	62887
242	59857	63306
243	60332	63299
244	60784	63265
245	61280	63273
246	61763	63263
247	62182	63185
248	62431	62932
249	62647	62647
250	62866	62365
251	63141	62139
252	63359	61856
253	63603	61600
254	63848	61344
255	64085	61081
256	64346	60841
257	64566	60562
258	64797	60293
259	65203	60187
260	65651	60117
261	66182	60119
262	66646	60057
263	67117	59999
264	67564	59915
265	68028	59844
266	68468	59749
267	68908	59652
268	69419	59613
269	70112	59725
270	70530	59599
271	71186	59670
272	71671	59594
273	72154	59514
274	72665	59453
275	73137	59357
276	73629	59275
277	74144	59208
278	74640	59124
279	75087	58997
280	75502	58843
281	75984	58739
282	76475	58640
283	76956	58530
284	77433	58414
285	77891	58282
286	78353	58150
287	78834	58031
288	79244	57856
289	79651	57678
290	80075	57511
291	80595	57410
292	81035	57250
293	81497	57103
294	81995	56980
295	82477	56842
296	82943	56691
297	83316	56476
298	83579	56185
299	83812	55875
300	84072	55582
301	84290	55263
302	84498	54938
303	84728	54627
304	84933	54302
305	85165	53994
306	85395	53684
307	85635	53383
308	85871	53079
309	86098	52770
310	86333	52466
311	86569	52163
312	86806	51862
313	87064	51573
314	87313	51279
315	87560	50984
316	87798	50684
317	88059	50398
318	88304	50103
319	88548	49808
320	88781	49507
321	89001	49199
322	89220	48891
323	89425	48576
324	89664	48280
325	89870	47967
326	90101	47668
327	90306	47355
328	90557	47067
329	90780	46765
330	90996	46460
331	91235	46167
332	91477	45875
333	91704	45577
334	91958	45292
335	92282	45042
336	92842	44905
337	93279	44708
338	93785	44541
339	94241	44349
340	95472	44516
341	95666	44196
342	95867	43880
343	96069	43566
344	96267	43250
345	96455	42931
346	96641	42611
347	96835	42296
348	97042	41986
349	97264	41684
350	97639	41447
351	98039	41221
352	98481	41010
353	98774	40737
354	99007	40439
355	99221	40134
356	99473	39845
357	99708	39549
358	99950	39256
359	100199	38966
360	100441	38674
361	100699	38388
362	100929	38091
363	101156	37794
364	101394	37502
365	101632	37209
366	101877	36920
367	102112	36627
368	102337	36331
369	102566	36037
370	102822	35752
371	103051	35458
372	103254	35156
373	103492	34866
374	103759	34586
375	103999	34297
376	104223	34003
377	104447	33710
378	104659	33413
379	104894	33124
380	105141	32839
381	105394	32556
382	105629	32268
383	105846	31974
384	106062	31680
385	106329	31403
386	106558	31113
387	106781	30823
388	107000	30532
389	107238	30246
390	107457	29956
391	107688	29669
392	107923	29383
393	108179	29104
394	108415	28819
395	108653	28535
396	108890	28251
397	109142	27971
398	109342	27678
399	109588	27397
400	109837	27116
401	110170	26857
402	110530	26604
403	110747	26316
404	110987	26034
405	111229	25752
406	111465	25470
407	111770	25203
408	112001	24919
409	112220	24633
410	112520	24365
411	112760	24084
412	113041	23812
413	113285	23532
414	113529	23253
415	113790	22976
416	114027	22696
417	114233	22409
418	114514	22137
419	114744	21856
420	114978	21575
421	115234	21299
422	115420	21010
423	115646	20729
424	115871	20447
425	116090	20165
426	116332	19888
427	116579	19611
428	116816	19333
429	117074	19058
430	117296	18778
431	117518	18498
432	117731	18217
433	117940	17935
434	118205	17662
435	118467	17389
436	118702	17112
437	118967	16840
438	119228	16567
439	119469	16291
440	119691	16013
441	119948	15739
442	120155	15460
443	120364	15181
444	120568	14901
445	120765	14621
446	120965	14342
447	121183	14065
448	121418	13791
449	121648	13516
450	121937	13248
451	122180	12974
452	122402	12699
453	122637	12425
454	122881	12153
455	123128	11880
456	123378	11608
457	123624	11336
458	123870	11064
459	124089	10790
460	124376	10522
461	124592	10247
462	124781	9971
463	125023	9700
464	125258	9428
465	125487	9155
466	125729	8884
467	125956	8612
468	126191	8341
469	126404	8068
470	126600	7794
471	126751	7519
472	126889	7243
473	127044	6968
474	127187	6694
475	127337	6420
476	127484	6147
477	127618	5873
478	127771	5601
479	127924	5330
480	128068	5058
481	128201	4787
482	128324	4516
483	128467	4246
484	128613	3977
485	128732	3708
486	128872	3440
487	129081	3174
488	129279	2908
489	129425	2641
490	129562	2374
491	129700	2108
492	129837	1843
493	130072	1579
494	130315	1316
495	130474	1052
496	130653	788
497	130805	525
498	130960	262
499	131126	0
