iter	RMSE
255	14.50222622
256	14.50117889
257	14.50028848
258	14.49893455
259	14.49791242
260	14.49708271
261	14.49563171
262	14.49402619
263	14.49249965
264	14.49136293
265	14.49042534
266	14.48893547
267	14.48747679
268	14.48632969
269	14.48523275
270	14.4848303
271	14.48409466
272	14.4833796
273	14.48263787
274	14.48184638
275	14.48085039
276	14.47969903
277	14.47868052
278	14.47744337
279	14.47589283
280	14.47444836
281	14.47351429
282	14.47223427
283	14.47065939
284	14.46950312
285	14.46858543
286	14.46756081
287	14.46697742
288	14.46642561
289	14.46572019
290	14.46473802
291	14.46330991
292	14.46221027
293	14.46110291
294	14.45956891
295	14.45855256
296	14.45712036
297	14.45616315
298	14.45512755
299	14.45403345
300	14.45263538
301	14.45108911
302	14.45015494
303	14.44889545
304	14.44853259
305	14.44785909
306	14.44687888
307	14.44593604
308	14.4448597
309	14.44420691
310	14.44299689
311	14.44194179
312	14.44136096
313	14.44015925
314	14.43908389
315	14.43853844
316	14.43774921
317	14.43696603
318	14.43646067
319	14.43580816
320	14.43444831
321	14.43380532
322	14.4330744
323	14.43258372
324	14.43088861
325	14.42972676
326	14.42892873
327	14.42824567
328	14.42706436
329	14.42601923
330	14.42501325
331	14.42383168
332	14.423133
333	14.42247195
334	14.42145544
335	14.42057976
336	14.4199828
337	14.41931682
338	14.41876783
339	14.41811347
340	14.41731223
341	14.41605039
342	14.41500783
343	14.4139842
344	14.41295886
345	14.41195992
346	14.4111931
347	14.41028516
348	14.40927406
349	14.40802251
350	14.40673742
351	14.40573612
352	14.40463213
353	14.4040332
354	14.40281459
355	14.40219453
356	14.40131382
357	14.40013915
358	14.39911153
359	14.39817492
360	14.39730615
361	14.39650202
362	14.39591843
363	14.39495633
364	14.39426363
365	14.39295151
366	14.39236149
367	14.39129453
368	14.39073248
369	14.38980158
370	14.38885373
371	14.38798627
372	14.38722711
373	14.38685685
374	14.38568606
375	14.38470157
376	14.38423149
377	14.38383189
378	14.38265392
379	14.3816965
380	14.38120599
381	14.37999688
382	14.37897677
383	14.37818281
384	14.37715781
385	14.37686077
386	14.37634403
387	14.37581505
388	14.37502786
389	14.37430265
390	14.37358858
391	14.3724347
392	14.37108811
393	14.37017521
394	14.36964169
395	14.36890032
396	14.36800486
397	14.36696787
398	14.36596286
399	14.36501656
400	14.36394446
401	14.36332103
402	14.36211463
403	14.36161789
404	14.36055155
405	14.3595197
406	14.35874721
407	14.35818293
408	14.35762161
409	14.35663593
410	14.35581828
411	14.35507949
412	14.35414643
413	14.35271698
414	14.35210823
415	14.35148486
416	14.35047642
417	14.34983505
418	14.3487318
419	14.3481975
420	14.34776471
421	14.34681209
422	14.34606981
423	14.34510827
424	14.34417736
425	14.34373923
426	14.34273939
427	14.34164448
428	14.34047868
429	14.33982722
430	14.33932955
431	14.33810522
432	14.33720738
433	14.33607207
434	14.33497155
435	14.33389793
436	14.33333308
437	14.33266148
438	14.33165953
439	14.33099935
440	14.33001735
441	14.32912869
442	14.32813221
443	14.32751434
444	14.3270294
445	14.32638767
446	14.32572314
447	14.32484157
448	14.32390698
449	14.32303742
450	14.32213943
451	14.32129352
452	14.32079039
453	14.32017658
454	14.31914623
455	14.31829126
456	14.31711527
457	14.31612195
458	14.31523653
459	14.31477679
460	14.31430618
461	14.31349424
462	14.31306688
463	14.31209011
464	14.31103606
465	14.31021931
466	14.30899472
467	14.30844153
468	14.30748088
469	14.30686614
470	14.30624108
471	14.30522446
472	14.30442988
473	14.30356877
474	14.30294487
475	14.30224245
476	14.30162409
477	14.30098633
478	14.30001909
479	14.29888361
480	14.29831037
481	14.29752227
482	14.29650788
483	14.29569362
484	14.294839
485	14.29429516
486	14.29381583
487	14.29288617
488	14.29224325
489	14.29137726
490	14.29083273
491	14.29029152
492	14.28965851
493	14.28875518
494	14.28826816
495	14.28786804
496	14.2871454
497	14.28658458
498	14.28583733
499	14.28501504
