iter	RMSE
0	17.61748025
1	17.50687649
2	17.40171869
3	17.30091929
4	17.2039007
5	17.11122016
6	17.01700766
7	16.92230213
8	16.83131701
9	16.74677771
10	16.6651754
11	16.5874322
12	16.51274323
13	16.4432759
14	16.37691009
15	16.3137532
16	16.25409337
17	16.19711738
18	16.1418868
19	16.08882454
20	16.03825601
21	15.99137217
22	15.94472138
23	15.90127716
24	15.85837741
25	15.81912558
26	15.78111538
27	15.74386547
28	15.70994552
29	15.67628116
30	15.64431848
31	15.61231364
32	15.585602
33	15.55712918
34	15.53050246
35	15.50324063
36	15.47698795
37	15.45208018
38	15.43010625
39	15.4098959
40	15.3878152
41	15.36877145
42	15.34939571
43	15.33121283
44	15.31237457
45	15.29441998
46	15.27707527
47	15.25984262
48	15.241681
49	15.2246333
50	15.20771467
51	15.19038841
52	15.17532577
53	15.1615763
54	15.14783615
55	15.13395539
56	15.12028611
57	15.10811634
58	15.09609058
59	15.08378084
60	15.07240879
61	15.05945763
62	15.0476634
63	15.03718025
64	15.02804501
65	15.01887057
66	15.00931055
67	15.00056176
68	14.99225608
69	14.98377892
70	14.9758541
71	14.96741912
72	14.96046851
73	14.95340739
74	14.94611281
75	14.93961986
76	14.9327148
77	14.92620609
78	14.91928168
79	14.91269146
80	14.90632839
81	14.89803114
82	14.89107396
83	14.88514487
84	14.87998639
85	14.87418524
86	14.86968914
87	14.86495749
88	14.86018713
89	14.85543814
90	14.84990303
91	14.84519042
92	14.83950407
93	14.83456521
94	14.82915518
95	14.82494734
96	14.82111178
97	14.8155087
98	14.81228764
99	14.8078807
100	14.80209275
101	14.79789315
102	14.79320659
103	14.78949712
104	14.78477032
105	14.78042015
106	14.77769795
107	14.77314524
108	14.76917192
109	14.76509496
110	14.76139728
111	14.75795293
112	14.75451357
113	14.75150157
114	14.74823672
115	14.74478775
116	14.7421366
117	14.73961873
118	14.73686013
119	14.73316829
120	14.7301028
121	14.72774905
122	14.72589448
123	14.72270436
124	14.7199936
125	14.71730363
126	14.71442922
127	14.7115773
128	14.70879582
129	14.70645591
130	14.70367013
131	14.70102229
132	14.6981186
133	14.69572554
134	14.69353568
135	14.69137469
136	14.68890922
137	14.68724236
138	14.68498399
139	14.68319555
140	14.68126841
141	14.6792797
142	14.67676598
143	14.67476291
144	14.67206701
145	14.67009834
146	14.66784297
147	14.66541507
148	14.66398291
149	14.66183091
150	14.6590808
151	14.65654975
152	14.65433097
153	14.65306967
154	14.65119221
155	14.64815398
156	14.64596966
157	14.64374481
158	14.64146334
159	14.63902148
160	14.63705345
161	14.63594628
162	14.63349943
163	14.6311549
164	14.63002772
165	14.62843444
166	14.62726795
167	14.62538997
168	14.62346009
169	14.62192541
170	14.62064397
171	14.61967286
172	14.61733775
173	14.61560431
174	14.61417789
175	14.61202623
176	14.61028137
177	14.60824083
178	14.60665851
179	14.60500718
180	14.60256758
181	14.60067059
182	14.59880642
183	14.5972964
184	14.59570604
185	14.59372671
186	14.59166376
187	14.58994579
188	14.58856178
189	14.58647982
190	14.58571511
191	14.58436668
192	14.58240464
193	14.58076876
194	14.57925061
195	14.57825776
196	14.57631278
197	14.57445218
198	14.57347986
199	14.57149331
200	14.57039167
201	14.56945578
202	14.56788963
203	14.56701888
204	14.56558251
205	14.56402889
206	14.56217026
207	14.56118327
208	14.56002861
209	14.55900061
210	14.55747903
211	14.5560435
212	14.55479187
213	14.55347558
214	14.55146814
215	14.54986834
216	14.54777508
217	14.54638017
218	14.54553239
219	14.54397574
220	14.54273777
221	14.54126751
222	14.53946405
223	14.53800869
224	14.53684517
225	14.53603111
226	14.53529269
227	14.53390165
228	14.53295862
229	14.53190092
230	14.53125666
231	14.53028656
232	14.52929285
233	14.52797948
234	14.52678054
235	14.52540734
236	14.52394849
237	14.52276273
238	14.52202289
239	14.52072096
240	14.51951552
241	14.51876144
242	14.51745784
243	14.51643495
244	14.51477958
245	14.51347789
246	14.51248945
247	14.51147639
248	14.51074416
249	14.50957691
250	14.508117
251	14.5070011
252	14.50611174
253	14.50508832
254	14.50332981
